---,ID,Question,OptionA,OptionB,OptionX,OptionY,CorrectAnswer,Hint
Q031,Q031,"NSLOCTEXT(""[27FBE28C5D09E151C709BFDE4338BCE2]"", ""2CE34025F1C8BA1C8E0A67AF970BDAC5"", ""Who was the mother of John the Baptist?"")","NSLOCTEXT(""[8D456787068FFDC6087C7F91F8F52301]"", ""6AC4154293F5F50C93109FAF4BD97E10"", ""Elizabeth"")","NSLOCTEXT(""[4441AA7A4D3C2C3A2CE5FC74D908F38A]"", ""4FAB1631066CB0699922A0A8286DB865"", ""Mary"")","NSLOCTEXT(""[7A099A11B74864C26C0656C48400BD63]"", ""12E744C820D23A9B061BAF93EA764623"", ""Anna"")","NSLOCTEXT(""[0EB886AF85317AE9C552E9E159B267BC]"", ""522A0E6EA18D04EF26721A8FF2DBE28E"", ""Martha"")",OptionA,"NSLOCTEXT(""[A5849CFEC352AF4064868F76411726C8]"", ""8AC66572A9FEAAD6C5D5944F40A9D3FC"", ""Luke 1"")"
Q032,Q032,"NSLOCTEXT(""[AE8D5E111456D607F4DBB632A2BB5D0A]"", ""B169C80BB38C8FF9639CFA580B738FF0"", ""What did God command Abraham to sacrifice?"")","NSLOCTEXT(""[989C34CE29FD9EF3DBD3D2B56BD48E94]"", ""634F6EC0EDF48D47CB8A91C02E3E82CE"", ""A lamb"")","NSLOCTEXT(""[769475EEE1F199C6BD17302BBB540AD0]"", ""4BA545562AC33E5A0CCE0038E6A8F4D3"", ""His son Isaac"")","NSLOCTEXT(""[06DE9107A9B63472EE24B5AF30C919EF]"", ""171531CE295B7EAFAD6FF0F8074756D1"", ""A bull"")","NSLOCTEXT(""[7E2882D3A55F51288C86DB562FC870A4]"", ""AA7876222A24207822A7186BAAB75128"", ""His flock"")",OptionY,"NSLOCTEXT(""[687B0DF2BDAEFC22697F3E34FFFE8260]"", ""DB3050FE2EE43D51414FF700BD7BB7AF"", ""Genesis 22"")"
Q033,Q033,"NSLOCTEXT(""[41BAB3E7BB091A48563AC5BFA1A75835]"", ""5D0BC20454BA1FF21971D35BB700D225"", ""Who was turned into a pillar of salt?"")","NSLOCTEXT(""[DF97A78EE70EA4407D3B8B2B4368FA77]"", ""FAEABBB31FF355FC659CC68181C3D6CC"", ""Lot's wife"")","NSLOCTEXT(""[683DF8A3339544044B104FA745ABA121]"", ""05E44FC81B5A8E396E75A855851B5633"", ""Sarah"")","NSLOCTEXT(""[7D98CA9197D1019C58151EF4022AC7EC]"", ""2BED6E4E97B483D271986947BD507B7F"", ""Rebekah"")","NSLOCTEXT(""[4F185BB3F3F74B0FF60461F94B0AF417]"", ""771EDE656CD2F2EF057A7F687C97DBC7"", ""Rachel"")",OptionA,"NSLOCTEXT(""[3DE3D79DE33BD706AAE31355C9036FCB]"", ""C97DC790E6CD8CE30B7E09955C0FBF4B"", ""Genesis 19"")"
Q034,Q034,"NSLOCTEXT(""[400DE30B431A8318226D54DA01C729FF]"", ""F39AF6B18269D7652782109852A1B57A"", ""What city did God destroy along with Gomorrah?"")","NSLOCTEXT(""[85514408450095273F5535409ABC544D]"", ""FD4E3613797DB95AA02AB599E18F967A"", ""Jericho"")","NSLOCTEXT(""[477CF81DC6EA00E7179D0C0B3441555F]"", ""B70D4D05ECEC771B93CBD8C7B0D75F1F"", ""Sodom"")","NSLOCTEXT(""[6C0B18D999093F114F3A4BFE1BC3F77D]"", ""922572E97E3A9F742F720E3294110ABE"", ""Nineveh"")","NSLOCTEXT(""[A36E089477F2584BF8AE9B87319C3393]"", ""17D4AB36ABCED5F2CC5A4DAC1E482CCE"", ""Babel"")",OptionB,"NSLOCTEXT(""[F6264F1B00EC1DE95347BD01F043A5C4]"", ""3968D5F701C4BA4C2CDBB5FBCC35A916"", ""Genesis 19"")"
Q035,Q035,"NSLOCTEXT(""[F297B092D63AFB50DD8B600D0B5B7FE9]"", ""4486DB223FEC71D18EB696FE7F1AD591"", ""Who led the Israelites into the Promised Land after Moses?"")","NSLOCTEXT(""[24836F0E4BD89B825F2879C35C7D0968]"", ""8F18055D128D31D413D764A058DEE03C"", ""Joshua"")","NSLOCTEXT(""[F86582B5A0147A947849D7D9071542F1]"", ""BCE3F150B4DF4AC32603687278222636"", ""Caleb"")","NSLOCTEXT(""[BAA42C071AFF895969D4F5F45CEB934C]"", ""D1DC0FCB5CFD876A34235C8E21A25ADA"", ""Aaron"")","NSLOCTEXT(""[6A09C952BD2018D5E3B8EB81EA1490BE]"", ""3847B2400423298C13E1C73630E63ABD"", ""Samuel"")",OptionA,"NSLOCTEXT(""[C341474F947C4526FBE25B8F09B7F399]"", ""DA4E05E3A1F900C39213F5392A380664"", ""Joshua 1"")"
Q036,Q036,"NSLOCTEXT(""[CF5469FC53CD5CF33DFC2E172DD7B77E]"", ""2A2056D46933D855DC0E6F193FF42B60"", ""What fell after the Israelites marched around Jericho?"")","NSLOCTEXT(""[2326AA9C91BD1E812268A740C96858C6]"", ""0E1AEF5EB515E63228D07A963B14A454"", ""The gates"")","NSLOCTEXT(""[2DB892F0CF57C4F08673A111AA18A889]"", ""1621F045278B74C9436A1F881BEDD8DE"", ""The walls"")","NSLOCTEXT(""[CD7BDE3C1019F03522A006C1A4423807]"", ""992D5D28809FBD11E1F18E613E676742"", ""The towers"")","NSLOCTEXT(""[6DB3AA4851182BFA1E6ED3AA9BEB2F08]"", ""D23EA4B204D54F37F231D4A90552548C"", ""The temple"")",OptionB,"NSLOCTEXT(""[9D9B45262C5ACFA8D996ED3B937B2533]"", ""64F6ACDB81985F5DCFBEFB4E742095D5"", ""Joshua 6"")"
Q037,Q037,"NSLOCTEXT(""[8C8FD6B1904E1DF3C861475A82C162AF]"", ""F98C0908B6F35155EABB4C1C5EF4072F"", ""Who was the first king of Israel?"")","NSLOCTEXT(""[C6BE09024296330FD91CA35A75C52738]"", ""F955FD4C443B8444727127FC6FA0E17F"", ""David"")","NSLOCTEXT(""[96C3673C2E73359FDDBD2C05D4233346]"", ""6AAF38977D9F875567F3BC152F2DF30A"", ""Solomon"")","NSLOCTEXT(""[7F457562DC2ECD29CE30B11AB68FFE89]"", ""9AC21ECA511F7F928E9A8579A4C187A3"", ""Saul"")","NSLOCTEXT(""[1244E52CAF090E53C37EEFFC992FD817]"", ""49A225849E4E9C3C9E92E1A09D9D8CDD"", ""Samuel"")",OptionX,"NSLOCTEXT(""[2018215EDA7596036418122D7C3C4DBD]"", ""C82A937141861CA8A3A41A3B0C45AC36"", ""1 Samuel 10"")"
Q038,Q038,"NSLOCTEXT(""[588F576FB83006086160E5D3D4E5C16C]"", ""56355B6716F83C4B60A48177F77D9A8E"", ""Who anointed David as king?"")","NSLOCTEXT(""[308F94E0E3DA1410D22C68553FC13746]"", ""B04A44CAD99E57657C17A58AE8521B88"", ""Elijah"")","NSLOCTEXT(""[6B99CB5E51411495F35545EE19FCDF94]"", ""2F80E2E0B93FCB3D9CB868527F9BE035"", ""Nathan"")","NSLOCTEXT(""[44603FAA034142DCAD22A19A5FA1BF14]"", ""D87F9B6631168F83791DA42CBD42C698"", ""Samuel"")","NSLOCTEXT(""[A4F8B43A69942A2212EF8291F153E709]"", ""03A8FC6C4A3F5A00251418CD43AF35E0"", ""Saul"")",OptionX,"NSLOCTEXT(""[076679B2032B274DBFE0E9A3EFC6C51D]"", ""380C9C6EB424C03A970B09888EEDA930"", ""1 Samuel 16"")"
Q039,Q039,"NSLOCTEXT(""[3B1AD718FE3A585D2C69431E684C539A]"", ""CE378464C46067FE09C1325C0E34760F"", ""What weapon did David use to kill Goliath?"")","NSLOCTEXT(""[3FECBF105F88C8BABE77335EDB71478C]"", ""3F38823742F0512E7EAED64235B67AFA"", ""Sword"")","NSLOCTEXT(""[95A40DEBDAC612630D781EF1176D96DE]"", ""C0CFC6BAC2DFC3AE9632E3162B0D1356"", ""Spear"")","NSLOCTEXT(""[90482F6C92C37FB2DE736403F3040C65]"", ""8332FCF23C0CAEC07DC947D9D6ACBD17"", ""Sling and stone"")","NSLOCTEXT(""[BB1089F5BE788097F776143FE75C5962]"", ""51FFAA6156FADC8AA3BA9957EB8E9F7D"", ""Bow and arrow"")",OptionX,"NSLOCTEXT(""[8190C7D38BA0B15884C3A50C793C1D47]"", ""EBC9B7EB686977CBFD3E701B69603623"", ""1 Samuel 17"")"
Q040,Q040,"NSLOCTEXT(""[F5EB34A2483EE51A247AB4A596C6F6A3]"", ""E62E378BCC6DCC8E124E13289124874C"", ""Who was known for his patience despite great suffering?"")","NSLOCTEXT(""[6F9EB3960C85E33B6AE142A1C1ED7A37]"", ""F390F300593ADAC6E1932992795B3CA9"", ""Job"")","NSLOCTEXT(""[EF6CBB0B9565914E0234AC66F8543C61]"", ""3433DA0B57C07A60C08F568434304CD2"", ""Jonah"")","NSLOCTEXT(""[CBDEC14BAC44FE230C0DEF9D46BFD8D3]"", ""7882F16F02F6985DB3C7DD95DE2B3C32"", ""Jeremiah"")","NSLOCTEXT(""[9F28D3B61C6108625BCC0E7B7F9C0A2D]"", ""32AD18316E76F37EF13A0E73703BA484"", ""Elijah"")",OptionA,"NSLOCTEXT(""[C3F967C96CF5ACBF4AA8981F4A3732F6]"", ""3FB1FBA3F401A32E1B956CD9512B2A05"", ""Job 1-2"")"
Q041,Q041,"NSLOCTEXT(""[85B548C03257A30BAA4825C0E697A569]"", ""BF40EC95C960C3CC5052F1CA91997E59"", ""Who was taken up to heaven in a chariot of fire?"")","NSLOCTEXT(""[F0F05FA0EB5EA34DE9F42748F35AE7B6]"", ""5B72C8C39CE45EBFB8B6B4E2C2AE00CA"", ""Elisha"")","NSLOCTEXT(""[84450CD9284BE03DB05ED308E2397B74]"", ""E7AAE562F9A54D1C3F97BA09A977A289"", ""Elijah"")","NSLOCTEXT(""[A3DE0FABD21D32ECD73C9A7A3B84071C]"", ""40DF46DDAE3BF3F7FAEB67C86190BD36"", ""Enoch"")","NSLOCTEXT(""[DD2281886E3B66CB5D9C50B684202490]"", ""A373CFB748237C0EC94AB36385DF594A"", ""Moses"")",OptionB,"NSLOCTEXT(""[06E4992D9F58688C4091ED3914714BD1]"", ""9FC57D7A36CC133DCF58FBBDAF99954D"", ""2 Kings 2"")"
Q042,Q042,"NSLOCTEXT(""[12657D0028A40CEC23709B15A22A7075]"", ""5609935BDB6CBDF3B36B9C6337D5F2E3"", ""Who succeeded Elijah as prophet?"")","NSLOCTEXT(""[35A2B113D6169CC2AAEFBD7F58D5F39D]"", ""B45891437EF3BBD2A6AA2C697F03DD18"", ""Elisha"")","NSLOCTEXT(""[2D0F30726B9A156BE9B5CF6C31D99008]"", ""5AE802D49CD804BD25AAE5D7A68FE4B0"", ""Isaiah"")","NSLOCTEXT(""[D9CF7395864955167B6B4656730A3547]"", ""E9D46CF5FC3AF2A951A5C96122BE5E18"", ""Amos"")","NSLOCTEXT(""[FB2449A06EFB5DE26924064D0386D006]"", ""6E01DA3902B732A7602B837AC09244FA"", ""Hosea"")",OptionA,"NSLOCTEXT(""[4AC9485F01C917BDD63919FFA7D20BB1]"", ""D71B902C97FAD423A5E635799DB036AB"", ""2 Kings 2"")"
Q043,Q043,"NSLOCTEXT(""[5EBECD2E309E36D42F9BE20D9B5FD31F]"", ""395CA4A1F00D9AEA0712BF77A9B0484A"", ""What did the raven and dove do after the flood?"")","NSLOCTEXT(""[C1C5E6FF7EC05BB8381EBCB147D86C77]"", ""3CD38352A84EAE8C03ED5D8C5F81C2CD"", ""Sang songs"")","NSLOCTEXT(""[6C45D5A9D19625E5FCA44C88742AF7E4]"", ""044CC78811D155A5E72FF7BB3E9889AB"", ""Searched for dry land"")","NSLOCTEXT(""[EE784B8B57BA90A3DED844EA91337649]"", ""DE03851E0D86D83B5A08FA8102C20ECE"", ""Built nests"")","NSLOCTEXT(""[036E73786184786742EAEA9B39C4AF3F]"", ""F41B384EFA2452502BD9DE4AD9629FE1"", ""Attacked Noah"")",OptionB,"NSLOCTEXT(""[A50BBBAA6471F55A08353046F0CA58FF]"", ""8AFF55D2BCDD0E09CF8AE9072F33F738"", ""Genesis 8"")"
Q044,Q044,"NSLOCTEXT(""[B94F4550E2C3AD44C14352EDE5BDCC45]"", ""1DF1F365F9C480762126B80D05588338"", ""Who was the strongest of the judges of Israel?"")","NSLOCTEXT(""[63FDDA826D25544F44E7BE6DB9B1BAC2]"", ""31CCA1801B5E04AB4FFA7E2EA5EC463F"", ""Gideon"")","NSLOCTEXT(""[BB3C6074F00BBF14197CCCF45CD67F29]"", ""8E2E03F3358AE45E8672440ACCE0E67F"", ""Samson"")","NSLOCTEXT(""[BA19C038AB2641C443467FD0B7FE68AC]"", ""5C8EC9B38D6D0E58DADA7AC2334094C1"", ""Ehud"")","NSLOCTEXT(""[4A076889C2280FB2ECD21A0876AB62C6]"", ""3F3BD5BDB6D0AC3CFAECEA55BB896A78"", ""Deborah"")",OptionB,"NSLOCTEXT(""[3A88224AC3E9571503C66D308F7FB1B5]"", ""949034C443194513323C71167DFB9DDB"", ""Judges 13-16"")"
Q045,Q045,"NSLOCTEXT(""[F5505F2E416B6F27241122964DF5A9DA]"", ""0DFA8AB279B205A952BC4BB8D13129FD"", ""Who was the only female judge of Israel?"")","NSLOCTEXT(""[7DF06C5F2A13CA2A6F61EDCBE293C3D2]"", ""E992FF5071295C469FE3BA4A2CB08BE3"", ""Ruth"")","NSLOCTEXT(""[0270C04A8FABFDC5A2644864C997114F]"", ""A9C2AD8ED8C9C85C46C165D09F326AB4"", ""Esther"")","NSLOCTEXT(""[D3C192EF4EC1DCE6EAA8B7A5A7EA8C70]"", ""21BDAAD15C752116F2EBEBCDD11E9F2F"", ""Deborah"")","NSLOCTEXT(""[C104E1CB7EF6D75384C9D988EC99A121]"", ""CFE6994B00708477EC397D16A65BE713"", ""Miriam"")",OptionX,"NSLOCTEXT(""[40E6B63F8C90C8C3ACE5E1105CC2DC7A]"", ""F647B0A0DF914072FC2D4E4F01BC4558"", ""Judges 4"")"
Q046,Q046,"NSLOCTEXT(""[E7F322C1E569C2258CEB95863A621A74]"", ""DCD427AF0691BAB215BF13C8F0674E2D"", ""Who wrote most of the Psalms?"")","NSLOCTEXT(""[45346A2804063B6B4323687DBFF0509F]"", ""B71DE35B72C9B5BA9F65E64F3221196E"", ""Solomon"")","NSLOCTEXT(""[3BDC1A29F7D9F635DE9D262E61FE5326]"", ""C040085E3B982D100B59CFD3287F427E"", ""David"")","NSLOCTEXT(""[A1BC4A400604645253968DB279E258A3]"", ""30FA73897407EC294EDEC133DCC6282C"", ""Moses"")","NSLOCTEXT(""[EBBE3144819A6DCF77BF9CE5043BD5EC]"", ""D436E382CCC8DE6479F1CAACBBB0993D"", ""Asaph"")",OptionB,"NSLOCTEXT(""[6D2780BE4E10B8A1CF8BF558900D706F]"", ""7150BA83BBBE31591E1053C4CB080528"", ""Psalm 23 heading"")"
Q047,Q047,"NSLOCTEXT(""[7E36AE1CBC99F4A6207EC772C021F122]"", ""18B1932FEA41C6857BC9CF1CEA722152"", ""What did Solomon ask God for?"")","NSLOCTEXT(""[ACEC9E9FB5482981422E7DECB909563A]"", ""8BFAF20A54F077939BBE26AB7D85B86D"", ""Wealth"")","NSLOCTEXT(""[9762F0DCEF4435BA1EA63D6CF2D5E0DF]"", ""58AE6873E61016C039EB76EF04F7F0A2"", ""Wisdom"")","NSLOCTEXT(""[BF52D204BA616A741BDF637AFEB5517E]"", ""2E9239294561144F8E0691CFBB0C5269"", ""Long life"")","NSLOCTEXT(""[A231D57F9B639000828195EA9323BF9F]"", ""0453C7FAFEA5843BC898EFAD56DD6A12"", ""Power"")",OptionB,"NSLOCTEXT(""[4EC5F0C05325410CC708464D7EF94BC4]"", ""6D0D0F31DFB93C2B04D274626622D8A4"", ""1 Kings 3"")"
Q048,Q048,"NSLOCTEXT(""[6EC6A6A233513D4FC400A4CC648DC84A]"", ""4A28087702B17FE53BDECFE8BC927B71"", ""Who built the first temple in Jerusalem?"")","NSLOCTEXT(""[A8EA9F628D7BD3A63E4F354FA9F73C9F]"", ""D0FC18AA96724AB278BF0B240FC41E0C"", ""David"")","NSLOCTEXT(""[576302A9E4F1F665BA7C8835D1CFC94E]"", ""40978DA7C7A0853A404E67E7CBA77DE0"", ""Solomon"")","NSLOCTEXT(""[7BDB62053CAAB6FA622DBD07ACE3359B]"", ""F6BFCE1DBD61BCA1B551A9A6ECD012AC"", ""Hezekiah"")","NSLOCTEXT(""[3B710E279026388A8EFCB296BC1BE5C6]"", ""A8AA2089BD78599E5DDAB083B27F69D9"", ""Josiah"")",OptionB,"NSLOCTEXT(""[605547F414FC3E399C338F7F4BC7880E]"", ""7E96A828069D62746F32CC42C29064FB"", ""1 Kings 6"")"
Q049,Q049,"NSLOCTEXT(""[8870D2380B8090F3C1370A226F20D614]"", ""0CDD4480CA1760823F49D65E7EDF1AD1"", ""What sea did the Israelites cross on dry ground?"")","NSLOCTEXT(""[CD4F98ADD2FA29EB9E87EEC7CC982858]"", ""35BA20F2E70E54E0558EE37E5BFA526F"", ""Sea of Galilee"")","NSLOCTEXT(""[89452554AAF30B0F0DD448E781A0BD41]"", ""4E66DFA4525F1AB25A6EE13B29FC896D"", ""Dead Sea"")","NSLOCTEXT(""[E61287C99689B458E76BD310B74990EA]"", ""7EA0CE864BBDAD0F2D6E347817CC6139"", ""Red Sea"")","NSLOCTEXT(""[51BE28F67B7E4065A4B936F69C0A7A41]"", ""E1FB607C277A48092EF841A869ADD8F7"", ""Mediterranean Sea"")",OptionX,"NSLOCTEXT(""[C0AD9C2121CDE59E22AAA42654D0EC29]"", ""79E562A49BCED34BE2D70535EA4E7F74"", ""Exodus 14"")"
Q050,Q050,"NSLOCTEXT(""[7631A608ADB14E1A7CAC5B2F81289BD0]"", ""4E436CED71C8988FDB70EDE54A8786FC"", ""What food did God provide the Israelites in the wilderness?"")","NSLOCTEXT(""[92C24BC3683FDE754ED21E515739CB9C]"", ""01EE0A79CE79E9C831D0108DDF8902FD"", ""Bread and fish"")","NSLOCTEXT(""[FCE8AFF41C513AC06B9897F788B0FA04]"", ""DDECE98B5801CB766D753ECAF9CD83CC"", ""Manna"")","NSLOCTEXT(""[9DC425180F353B5D2116E0359054F49B]"", ""D844F3C0AF48A55F007EF4D9B1CA596F"", ""Honey"")","NSLOCTEXT(""[00A0E50BDE2EBD87CC5E453EB95BA2A7]"", ""78AD03E0D6FB99A2176CD6449BCDA738"", ""Grain"")",OptionB,"NSLOCTEXT(""[2CF0FCD1D0E9C7E225C1BE36A6D41803]"", ""FD6D6D4639D6AE7447C4CDBBEF23AD7D"", ""Exodus 16"")"
Q051,Q051,"NSLOCTEXT(""[B150EC52A4FA2FEF25C4FD6FE893223E]"", ""CDACB3C4E00AD3867E0B0E6CDB272A8F"", ""Who spoke to God through a burning bush?"")","NSLOCTEXT(""[50CD46F13F44A52E515F6A23457F10DB]"", ""78CDA46C95D87FA951F1FA18D7123CE3"", ""Aaron"")","NSLOCTEXT(""[C8917E098A21D26212DA3B900F4D5671]"", ""F0DA43D6D6199DBC61D19416FD51F280"", ""Moses"")","NSLOCTEXT(""[340E6252E213F7DBCAF9C0D6D617472D]"", ""7504DDDBF576DFA1FC9234247D79E2E5"", ""Joshua"")","NSLOCTEXT(""[4B1B424E405262745C9B7F3A2AB23EC4]"", ""82D1F017E6674A0DD47821377CD38522"", ""Elijah"")",OptionB,"NSLOCTEXT(""[D11B853750E2220A7D5B94520E97709C]"", ""1EB75B9F75174693E9123216786FE31B"", ""Exodus 3"")"
Q052,Q052,"NSLOCTEXT(""[E25AC24F6E27A2EEC9A901C804B122AC]"", ""1C47C76728C639737F22EE90BDA09613"", ""How many commandments did God give Moses?"")","NSLOCTEXT(""[9F5AAD5FF97BE5DFCC785D1D17FB5E8B]"", ""75163C6863026D5D190BD2515A75B7AA"", ""10"")","NSLOCTEXT(""[6E40F4EBF7132A7D2C0B006E24314FA1]"", ""4CF79CB218F307B65690ACE8A4409735"", ""12"")","NSLOCTEXT(""[A809ED4D0B2AC67998BF9DBA0BC212E8]"", ""0D490075DBC7EFF7D903EF2EEF3BB709"", ""7"")","NSLOCTEXT(""[1AAB9750915D285CCAC802DBEC904C3F]"", ""525C4C58649065F3E89CAA04C4C7E49A"", ""5"")",OptionA,"NSLOCTEXT(""[2BBFF735FCFBA4ECD63719C1E77CB837]"", ""8E29F05013154E7EC12D4B344E2D6A83"", ""Exodus 20"")"
Q053,Q053,"NSLOCTEXT(""[7918523F13404871CB6742F20A6A77E6]"", ""7A84A87271846ADD365D46468A8731D3"", ""Who was Ruth's mother-in-law?"")","NSLOCTEXT(""[F3EAD3677E456AF961492F3A36DC406E]"", ""E8C53905B6D693E89EAE13F4BBB4594F"", ""Naomi"")","NSLOCTEXT(""[EF34CF02D2F4AC5A941E90BF0E2AC6F9]"", ""71E2FC050F9603762563BF6510F3561A"", ""Orpah"")","NSLOCTEXT(""[6C8B4C13C908C768B077A8150F1189DC]"", ""9693116C0B6C3430C416FCA016E2E80C"", ""Rachel"")","NSLOCTEXT(""[BBBE12E11BB87A61F0EDF2CE32FC76D6]"", ""ED97C005066000FFD3F36144D9798DCE"", ""Leah"")",OptionA,"NSLOCTEXT(""[81A660693273B43A293C5D977E0FCD05]"", ""E2096CB9EDDD3321A85353953B50EAA0"", ""Ruth 1"")"
Q054,Q054,"NSLOCTEXT(""[AEAA05D8C3FDB5C94C7B2BE5109FBBA6]"", ""3A71BF73A72372FC1EB5B2D847990DC5"", ""Who became queen of Persia and saved her people?"")","NSLOCTEXT(""[90FA12D0104FC710718666AA616A1614]"", ""F1394B625E2FBE049CFB1F47EB128AE9"", ""Ruth"")","NSLOCTEXT(""[E6993F73E7CBE9CCC91F1EB644C977F1]"", ""57E90E35B475A847281EA34C02D88104"", ""Esther"")","NSLOCTEXT(""[3CC8E62E3B08398A9AA6D8E8B31A11FB]"", ""8769513B7BF1F218965F9EB2347C5F56"", ""Deborah"")","NSLOCTEXT(""[1D6EF767860D91CEEDAC925567CE0995]"", ""99CBB804C5BD4FD8A58CE570E650F662"", ""Miriam"")",OptionB,"NSLOCTEXT(""[7A5A2B0C2E503F1A1BA367DB41C73BE7]"", ""EB06B9BD305806DD009EAA41AC578A81"", ""Esther 2"")"
Q055,Q055,"NSLOCTEXT(""[724C77384ED9F11199735502A9FA11A0]"", ""49372483C4DA61D370A91D57427CEAFE"", ""Who was thrown into a fiery furnace?"")","NSLOCTEXT(""[EB2D441B4B834D0474A6699FF9CF6D58]"", ""68869D9A8C56BA1C98DE800E315614D9"", ""Daniel"")","NSLOCTEXT(""[747CA2685E01145C1762CC1A2B270E58]"", ""410F04FEFC97A70A1E7254ABC8E27C18"", ""Shadrach, Meshach, and Abednego"")","NSLOCTEXT(""[4ABA2D04B94F7F9C760EC7A867A7E3E4]"", ""57A1FD2ED110ECCB560A1AAC726771B7"", ""Ezra"")","NSLOCTEXT(""[4AC677058B7B674C049ACFAFD0B1EBE2]"", ""18E2F35EBDAD7699B5A015EF17A21093"", ""Nehemiah"")",OptionB,"NSLOCTEXT(""[74E316E0199BD03DFF5276D956760C3D]"", ""6DFA3E478620E03B5B41AD6C55818BA7"", ""Daniel 3"")"
Q056,Q056,"NSLOCTEXT(""[B05AA8F04FC9A04438B8692C0E31AF3C]"", ""7FD4815981AD7A1E907DF8FB02A0AA4C"", ""Who rebuilt the walls of Jerusalem?"")","NSLOCTEXT(""[4E5605610FF48FF82517B18E3C3ADE39]"", ""7AE08E901BD0C5D75AFDDF61650F5A0E"", ""Ezra"")","NSLOCTEXT(""[6EE0BB58C38CBC714CC5F285E3BA3844]"", ""E29EC936ACBF2C21A1387EC212C97AB9"", ""Nehemiah"")","NSLOCTEXT(""[2CC1738533276BCCAEEB033ABE006465]"", ""3C49C55FFE9921C5BB8F2BF0DA2CA54F"", ""Zerubbabel"")","NSLOCTEXT(""[374C7690F1B1B88C4BD40364D3304048]"", ""5F66A63C647BBCF77162380101E58F60"", ""Haggai"")",OptionB,"NSLOCTEXT(""[9BC204DA90A71EA30BB98DACF827615E]"", ""7D7B381DEE03FA623CB50333B172D4D0"", ""Nehemiah 2"")"
Q057,Q057,"NSLOCTEXT(""[40876EF2D23F369CEA54F59EE5D205B2]"", ""A5796BDB245763426475F00D0B3AA30F"", ""Who was Jesus' cousin and forerunner?"")","NSLOCTEXT(""[22BE02800C5D23010F65D4A2FADCB288]"", ""04F8E91B97392E4C1C774008F1C7E5A6"", ""James"")","NSLOCTEXT(""[C152A5CA3CB27D773D63F4C8CF4D8315]"", ""AD4D25E91A614CFBE1A2EDE264651A60"", ""Andrew"")","NSLOCTEXT(""[74A193570F0527E46D7E8E0798390698]"", ""EF2DE0393467C99CA0740090BD194A9A"", ""John the Baptist"")","NSLOCTEXT(""[F85FDE7EBA9FB8276593EDCED292DBF5]"", ""E19F1E800983CB3ADD76A883A0EB9F67"", ""Thomas"")",OptionX,"NSLOCTEXT(""[D668F3092F7A980ADA938BEC0EA43AB7]"", ""F6A78D675745C7D3B0D46EAE6061E078"", ""Luke 1"")"
Q058,Q058,"NSLOCTEXT(""[8789DEA408BE79481336F12CCE5320BC]"", ""86F5F30482C1A69F13EC91FD637AB9BA"", ""How many loaves and fish fed the 5000?"")","NSLOCTEXT(""[0A13C5F4CB475B1F7CEAC3F9B77E0A65]"", ""DA86497F34F60BD7C160E62811395F31"", ""5 loaves and 2 fish"")","NSLOCTEXT(""[88E669018DD731B8ED58D6192D9FC68D]"", ""E404BE1BBD5E5DD0CAD27F942A998D19"", ""2 loaves and 5 fish"")","NSLOCTEXT(""[533BE36FCBC81D24AD701C9DA31CCFE1]"", ""EED0D9A560246D34559577247EA0A2AE"", ""7 loaves and 3 fish"")","NSLOCTEXT(""[057E7099BB84DFDBBA6C3D0298117356]"", ""CF3AFE85653C60198902E5525D686490"", ""3 loaves and 2 fish"")",OptionA,"NSLOCTEXT(""[5D67995BA0B931CD496D874980682C61]"", ""AD97416DB0CF68B793B36BD40615E4D8"", ""John 6"")"
Q059,Q059,"NSLOCTEXT(""[893F326B667335B7E1389D29C9C1C865]"", ""6537F2A3F24AAAB6A053D4FF5AEF09C9"", ""Who walked on water toward Jesus?"")","NSLOCTEXT(""[718696A0F8CB2FF9CDA797003930E5E9]"", ""4CF9ACF3691F1235ECCCB3359686703B"", ""Peter"")","NSLOCTEXT(""[A59E85F0672A28DBECB8D44FC898AEC4]"", ""07EB6A121BE93FD0960C75A7D66BFD61"", ""John"")","NSLOCTEXT(""[F75496E7E029D392310E7CEC5090D400]"", ""17992C2C49764943DF6D525B7B94A6AB"", ""James"")","NSLOCTEXT(""[0A2D5DC3EBBAEA380DE146D0D8FDFA45]"", ""8CAA3748997E59AC7694C6BBD21331EC"", ""Andrew"")",OptionA,"NSLOCTEXT(""[D45BB2B173FDFD2C62AD16D517734939]"", ""865312DABEBFFC7FD4A628410B81EB89"", ""Matthew 14"")"
Q060,Q060,"NSLOCTEXT(""[893B41AB7A8BF8ABDE383EE673E9B084]"", ""4F220743EA9154DD0348E04B024FEBCE"", ""Who was raised from the dead by Jesus after four days in the tomb?"")","NSLOCTEXT(""[8CF3DFBFC74D300B4CD6380A28010A56]"", ""96967456EDB679DA63645D0A7AE09AB0"", ""Jairus' daughter"")","NSLOCTEXT(""[34BA1B7307456F8142F8711AD1AE0045]"", ""F85BC526B38D3E7C4BA4B6AA664806F9"", ""Lazarus"")","NSLOCTEXT(""[DCE8886E919F908FC1729F09042A281E]"", ""3976F086CF9099588B90D5458A430D28"", ""The widow's son"")","NSLOCTEXT(""[B4F18C914687924099A5121C57838520]"", ""660F794551E69AFDCE7A2E71804C92F7"", ""Tabitha"")",OptionB,"NSLOCTEXT(""[A5DEDE32BE404A8632BE19E5844B8D25]"", ""4546F9B3BAF5B9E1F52C274BD0D6542F"", ""John 11"")"
